,0
88660066,0
88687508,0
88693999,0
88696885,0
88696886,0
88693998,0
88660065,0
88693997,0
88687507,0
88696888,0
88660064,1
88696887,0
88693681,0
88565636,2
88673946,2
88661648,2
88673920,2
88633554,2
88668105,2
88673924,2
88673943,2
88661655,2
88679701,2
88679708,2
88633553,2
88633552,2
88633555,2
88669842,2
88669845,2
88669387,2
88669388,2
88661654,2
88668326,2
88673941,2
88669841,2
88668334,2
88633558,2
88661651,2
88668329,2
88661652,2
88669844,2
88673839,2
88668106,2
88679705,2
88673923,2
88673944,2
88673837,2
88633559,2
88669840,2
88668112,2
88673940,2
88669385,2
88673922,2
88673928,2
88679706,2
88668103,2
88661653,2
88668327,2
88673925,2
88633557,2
88673947,2
88673838,2
88673926,2
88679702,2
88669381,2
88669382,2
88668111,2
88669384,2
88668107,2
88669386,2
88679697,2
88668333,2
88668104,2
88668108,2
88668331,2
88679700,2
88673942,2
88673927,2
88633560,2
88673836,2
88668330,2
88679704,2
88669389,2
88633551,2
88679707,2
88674399,2
88669383,2
88673945,2
88661649,2
88668110,2
88673919,2
88679699,2
88674396,2
88668109,2
88669843,2
88673921,2
88679709,2
88668332,2
88668328,2
88679698,2
88633556,2
88679703,2
88661650,2
88692854,2
88656358,2
88695726,2
88697587,2
88698213,2
88526661,3
88666710,3
88570377,4
88572826,3
88698317,3
88631742,3
88672595,3
88678731,3
88678727,3
88667883,3
88666709,3
88667110,3
88672512,3
88672510,3
88659544,3
88672602,3
88667109,3
88672603,3
88678729,3
88666708,3
88672599,3
88672509,3
88659542,3
88667111,3
88667888,3
88666707,3
88678728,3
88678726,3
88672600,3
88631139,3
88631741,3
88672601,3
88667108,3
88672596,3
88667885,3
88667887,3
88659543,3
88667884,3
88672511,3
88659541,3
88672513,3
88667886,3
88672508,3
88678725,3
88631743,3
88672598,3
88667889,3
88678730,3
88672597,3
88631740,3
88670313,3
88688805,3
88684421,3
88694396,3
88689829,3
88689059,3
88649750,5
88642229,5
88642230,5
88645344,5
88645343,5
88649751,5
88642231,5
88677271,5
88665172,5
88636230,5
88676632,5
88676631,5
88637698,6
88639284,6
88637697,6
88637696,6
88642579,6
88643996,6
88643997,6
88635034,6
88652504,6
88650963,6
88632398,7
88629808,7
88593076,8
88615054,8
88593077,9
88605415,8
88614299,8
88611514,8
88615053,8
88612175,8
88614298,8
88614300,8
88612176,8
88611513,8
88615052,8
88593075,8
88612174,8
88614297,8
88660785,8
88618270,8
88658997,10
88618269,8
88662649,8
88647300,8
88666747,8
88630641,8
88647302,8
88658939,8
88647301,8
88658938,8
88666746,8
88660784,8
88654989,8
88657625,8
88662648,8
88658937,8
88695078,11
88587201,12
88603912,12
88523176,12
88523175,12
88673916,12
88593955,13
88593956,13
88515100,13
88515101,13
88567907,13
88515103,13
88592454,13
88515102,13
88592455,13
88597540,13
88621654,14
88655622,15
88679818,13
88682891,16
88689552,17
88696855,17
88552275,18
88590755,18
88590756,18
88566221,18
88569682,18
88579531,19
88569683,18
88574385,18
88579529,18
88566222,18
88579532,18
88590754,18
88552276,18
88566220,18
88574386,18
88579530,18
88566223,18
88685181,20
952938,21
88573006,21
88499298,21
88512752,21
88573007,21
88573515,21
88540722,21
88599367,21
88602274,21
88604966,22
88610175,21
88576435,23
88576434,21
88630823,21
88633512,21
88630535,21
88633513,21
88625192,21
88627587,21
88625193,21
88668894,21
88659419,24
88680631,21
88673278,21
88684377,21
88680892,21
88633514,21
88632870,21
88616956,21
88676540,25
88591234,26
88676544,25
88676542,25
88669906,25
88656425,25
88676543,25
88656424,25
88628903,25
88656426,27
88669907,25
88669908,25
88656423,25
88676541,25
88669909,25
88649046,25
88656955,25
88542746,26
88582725,26
88542748,26
88510648,26
88542745,26
88570811,26
88494991,26
88582724,26
88591235,26
88510649,28
88569941,26
88591233,26
88570810,26
88570812,26
88582723,26
88510647,26
88569940,26
88495212,26
88582726,26
88495211,26
88542747,26
88617829,26
88652475,26
88659113,26
88688239,26
88693945,26
88696601,26
88524349,29
88562890,29
88542317,29
88562891,29
88542318,29
88572285,29
88556668,30
88537597,30
88513690,30
88552799,30
88559067,30
88556669,30
88556670,31
88537596,30
88535210,32
88573457,33
88534085,33
88556407,33
88556406,33
88511178,33
88525114,33
88556590,33
88529878,33
88536845,3
88498400,3
88498399,3
88526662,3
88517573,3
88558303,3
88526234,3
88693123,3
88534810,34
88528258,34
88685546,35
88673267,35
88678400,35
88678582,35
88673268,35
88678402,36
88645411,35
88685547,36
88685548,35
88678401,36
88645412,35
88685549,35
88686680,35
88686677,35
88675612,35
88683068,35
88675613,35
88685770,35
88690308,36
88693097,35
88692555,35
88685814,35
88553598,34
88584590,34
88630072,34
88630698,34
88624324,34
88624326,34
88624321,34
88583387,34
88630697,34
88633040,34
88624317,34
88632638,34
88630077,34
88624318,34
88632664,34
88630073,34
88626965,34
88632666,34
88624325,34
88632639,34
88615989,34
88630696,34
88616394,34
88630078,34
88624319,34
88630076,34
88632663,34
88616391,34
88632665,34
88630694,34
88626964,34
88624316,34
88626961,34
88624315,34
88616390,34
88632637,34
88626960,34
88630695,34
88630690,34
88626966,34
88630692,34
88630075,34
88616393,34
88626962,34
88624322,34
88624323,34
88624320,34
88583388,34
88626959,34
88630079,34
88616392,34
88583389,34
88630691,34
88630693,34
88626963,34
88630074,34
88641501,34
88650947,34
88647895,34
88650948,34
88674142,37
88676689,37
88676351,37
88682548,37
88685769,34
88683067,34
88683066,34
88694216,38
88690200,38
88689304,38
88534807,34
88520521,34
88554686,34
88529976,34
88516617,34
88529977,34
88534809,34
88534808,34
88553599,34
88520522,34
88516618,34
88528257,34
88554685,34
88563304,34
88599835,34
88520863,34
88605313,34
88608385,34
88577223,34
88678398,34
88690764,34
88693025,35
88685772,34
88675615,34
88685771,35
88582030,39
88637938,35
88571348,40
88571347,40
88600168,40
88570892,40
88600167,40
88571349,40
88600169,40
88570449,40
88584344,40
88590901,40
88598013,40
88574182,40
88562109,40
88660442,40
88646950,40
88562107,40
88590902,40
88562108,40
88574183,40
88683602,35
88617362,41
88622296,41
88618205,41
88569005,41
88617363,41
88619908,41
88618207,41
88613649,41
88613646,41
88613647,41
88618206,41
88569004,41
88613648,41
88621246,41
88618204,41
88619907,41
88648448,42
88681686,41
88680951,34
88648446,34
88681687,43
88688150,34
88680950,34
88693023,34
88675614,43
88648447,34
88692922,34
88681685,34
88680949,34
88681688,34
88683064,34
88683065,34
88693024,35
88675611,44
88528102,45
88554656,45
88513378,45
88554655,45
88553414,45
88616068,46
88643069,47
88532994,47
88643900,47
88650069,47
88605516,47
88646608,47
88646847,47
88605515,47
88605514,47
88647948,47
895040,48
907008,49
88554488,48
88526040,48
88520084,48
88513368,48
88526041,48
88554487,48
88571458,48
88609865,50
88589236,48
88627192,48
88625458,50
88652887,48
88655149,48
88652889,49
88655150,48
88651324,49
88676814,51
88691024,52
88552885,53
88544727,54
88592509,53
88520126,53
88536181,53
88563694,53
88568624,53
88616872,53
883350,53
904500,53
861670,53
784779,53
88511401,53
88572757,55
88583065,55
88573508,55
88674619,55
88668511,55
88626433,55
958813,56
88621584,56
88664850,56
88658455,56
88650686,56
88621585,56
88621586,56
88660452,56
88660454,56
88664851,56
88658454,57
88658453,56
88658452,56
88660453,56
88662449,56
88650687,58
88670832,56
88670833,56
88660450,56
88660451,56
88621587,56
88669915,56
88690288,56
88570352,54
883418,54
913064,54
828117,54
844629,54
839192,54
799778,54
784639,54
769015,54
792550,54
837120,54
894821,54
953309,54
975469,54
766270,54
911924,54
892555,54
813377,54
796464,54
974941,54
803897,54
